issue_id,wp_id,title,kind,priority,confidence,evidence_state,status,source_refs,problem,impact,change,acceptance,verification_command,test_to_add,observed_verification,compatibility,migration,review_verdict,review_notes,counterevidence,graph_evidence,symbols,known_or_new,effort,candidate_dependencies,target_files,base_sha,implementation_sha,verification_evidence
ARC-A01,WP01,Recipe wire validation and typed expression checking maintain drifting call registries,contract,P2,high,implemented; focused and integration verification passed,done,internal/dataframe/recipe/document_validation.go:222-259; internal/dataframe/expression/expression_checking.go:181-366,"recipe.call validation uses a small arity-only callArities allowlist, while expression.inferCall also supports fallback, not, and/or, comparisons, and other typed operations. A change to one registry does not change the other, and an operation accepted by the backend-neutral expression checker can be rejected before it can be persisted as a recipe.","Persisted recipe authors and the existing GraphQL/expression frontend get different operator capabilities and error behavior. New operators can silently become one-frontend-only, making translation/version compatibility hard to reason about.","Define a compiler-owned operator capability profile at the recipe boundary: either share the operator/type/arity records with expression checking and lowering, or explicitly version and test the recipe-only subset. Do not claim parity until every documented call has an acceptance/lowering test or an explicit unsupported diagnostic.","Every operation reported as supported by the expression checker is either accepted and lowered from a persisted recipe or appears in one explicit, versioned unsupported list; a table-driven parity test passes for both cases.","GOCACHE=""$PWD/.gocache"" GOTOOLCHAIN=go1.26.5 go test -count=1 ./internal/dataframe/recipe ./internal/dataframe/expression ./internal/dataframe/semantic","Source-only; discovery reports recipe, expression, and semantic tests green. Add a table-driven recipe-parse, type-check, lower, and render matrix for all capability entries and rejections.","Focused compiler and recipe tests, direct-importer tests, repository gates, verify-fast, and verify-full passed at 4631c5225d727b2bd54b48e888f26d918eb5a630.",additive,"Allowing additional calls is additive for stored recipes, but newly accepted calls need renderer/version compatibility. If the narrower profile is retained, document it and leave existing stored bytes unchanged.",accept,"The persisted-wire validator rejects any call absent from callArities, while the expression checker and physical call renderer accept fallback, not/and/or, comparisons, and contains. BuildRecipePlan reaches expression.Check only after this wire rejection, so the two frontends cannot have parity; the recipe reference also documents fallback as a supported call. This is a source-proven contract mismatch, not merely a table-size preference.","A narrower persisted profile could be intentional, and the current map does provide a clear wire rejection. No capability profile or parity test documents that intended subset, while the public recipe documentation lists calls absent from the map.","GitNexus grouped CompileResolvedRecipePlan and the semantic OutputPlan flow, but did not expose either registry as a shared capability node; source confirms two independent policy tables.",callArities; inferCall; Bundle.Validate,new,M,none recorded; see WP dependencies,internal/dataframe/recipe/document_validation.go; internal/dataframe/expression/expression_checking.go; internal/dataframe/semantic/recipe_plan_output.go,3af5e2a7c1f47c104b601f92d7e517b265671bfd,4631c5225d727b2bd54b48e888f26d918eb5a630,"Focused compiler and recipe tests, direct-importer tests, repository gates, verify-fast, and verify-full passed at 4631c5225d727b2bd54b48e888f26d918eb5a630."
ARC-A02,WP01,Rich-shaping expression validation accepts AST forms that the canonical IR cannot lower,contract,P2,high,implemented; focused and integration verification passed,done,internal/dataframe/recipe/validation_rich.go:162-183; internal/dataframe/recipe/validation_rich.go:224-250; internal/dataframe/recipe/validation_rich.go:326-337; internal/dataframe/semantic/recipe_rich_shaping.go:20-24; internal/dataframe/semantic/recipe_rich_shaping.go:56-62; internal/dataframe/semantic/recipe_rich_shaping.go:284-299; internal/dataframe/semantic/recipe_rich_shaping.go:355-366; internal/dataframe/semantic/recipe_rich_shaping.go:407-425,"Pivot, aggregate, and slice recipe validators accept general expression ASTs through validateExpressionBudget. Semantic rich-shaping lowering then routes pivots, required aggregate expressions, and slice fields through recipeNodeSelector, which rejects every non-selector expression. Catalog pivots are a special omission case, but static pivots and non-selector aggregate/slice expressions are only rejected after the wire validator succeeds.","Invalid persisted recipes survive document validation, can be registered or discovered, and fail later at semantic compilation. Clients cannot know from recipe validation whether a rich-shaping expression is representable, and migration errors occur after a recipe has acquired a durable identity.","Make the boundary singular: reject non-selector pivot expressions, required aggregate expressions, and slice field expressions in Bundle.Validate with a stable capability error, or extend the semantic/physical IR and schema to carry them. Add a cross-layer test that validates the same accepted forms it compiles.","A recipe containing a non-selector pivot, required aggregate expression, or slice field is rejected by the public recipe validator before registration/discovery, or compiles to an explicit typed physical expression with an output schema that matches its value shape.","GOCACHE=""$PWD/.gocache"" GOTOOLCHAIN=go1.26.5 go test -count=1 ./internal/dataframe/recipe ./internal/dataframe/semantic ./internal/dataframe/compiler/lower","Source-only; discovery reports recipe, semantic, and lower tests green but no validator-to-lower parity test. Add one test per rich-shaping family, including a registration/preflight boundary check.","Focused compiler and recipe tests, direct-importer tests, repository gates, verify-fast, and verify-full passed at 4631c5225d727b2bd54b48e888f26d918eb5a630.",behavior-change,Recipes that currently validate but fail rich lowering must be inventoried before tightening validation; migrate them to selectors or a versioned expression representation. Existing valid selector recipes should preserve identity.,accept,"Pivot and aggregate validators accept general expression ASTs via validateExpressionBudget, and slice fields accept general expressions through the field validator. The semantic rich-shaping boundary then calls recipeNodeSelector for pivot/aggregate selectors and explicitly rejects non-selector slice fields, while the physical lowerers consume selector metadata. Thus a recipe can validate and be registered before a deterministic compiler error; the selector-only intent is stated only in the later semantic comments.","The selector-only shape is an explicit version-one capability boundary, and semantic compilation does reject the unsupported forms before physical execution. That safeguard is late relative to public validation and durable registration.",GitNexus query connected OutputPlan and CompileResolvedRecipePlan; source inspection shows the semantic boundary is selector-only for these rich operations.,Pivot.validateAt; Aggregate.validateAt; validateFieldsBudget; lowerRecipePivots; lowerRecipeAggregates; lowerRecipeSlices; recipeNodeSelector,new,M,A01,internal/dataframe/recipe/validation_rich.go; internal/dataframe/semantic/recipe_rich_shaping.go; internal/dataframe/compiler/lower/root_projection.go,3af5e2a7c1f47c104b601f92d7e517b265671bfd,4631c5225d727b2bd54b48e888f26d918eb5a630,"Focused compiler and recipe tests, direct-importer tests, repository gates, verify-fast, and verify-full passed at 4631c5225d727b2bd54b48e888f26d918eb5a630."
ARC-A03,WP01,Aggregate ValueMode is accepted and retained semantically but ignored by physical lowering,correctness,P2,high,implemented; focused and integration verification passed,done,internal/dataframe/recipe/validation_rich.go:230-248; internal/dataframe/semantic/recipe_rich_shaping.go:268-277; internal/dataframe/semantic/semantic_nodes.go:54-66; internal/dataframe/compiler/lower/root_projection.go:163-218; internal/dataframe/compiler/lower/recipe_schema.go:65-86,"Aggregate validation accepts AUTO, FIRST, ALL, and DISTINCT, and semantic lowering stores ValueMode. physicalAggregateExpression consumes operation, selector, predicate, and required values but never reads ValueMode; it produces scalar output for every aggregate except DISTINCT_VALUES.",Two persisted aggregate recipes that differ only in valueMode can produce the same physical expression while their recipe contract says the selector contributes different cardinality/value semantics. OutputSchema can therefore advertise a shape that the query does not implement.,"For each aggregate operation, either encode ValueMode in the aggregate IR/renderer and derive OutputSchema from the same result, or reject non-AUTO modes during recipe validation with a stable versioned diagnostic. Add operation-by-mode output/cardinality tests.","For each supported aggregate operation, ValueMode either changes the rendered value/cardinality and OutputSchema consistently, or non-AUTO values fail validation with a stable versioned diagnostic.","GOCACHE=""$PWD/.gocache"" GOTOOLCHAIN=go1.26.5 go test -count=1 ./internal/dataframe/semantic ./internal/dataframe/compiler/lower ./internal/dataframe/compiler/ir",Source-only; focused packages were reported green but no aggregate ValueMode behavior test exists. Add a literal rendered-plan and schema test for every operation/mode decision.,"Focused compiler and recipe tests, direct-importer tests, repository gates, verify-fast, and verify-full passed at 4631c5225d727b2bd54b48e888f26d918eb5a630.",breaking,Existing non-AUTO aggregate recipes need an explicit migration to AUTO or a versioned implementation before enforcement; receipts and resolved-schema identities must not be changed silently.,accept,"Aggregate.validateAt accepts every ValueMode and lowerRecipeAggregates stores it in SemanticAggregate. physicalAggregateExpression never reads that field: cardinality is selected solely from operation, with only DISTINCT_VALUES becoming an array. The reference says aggregate valueMode shapes its result, so non-AUTO documents have a declared input that terminates before physical semantics and schema publication.","Aggregate operations naturally determine scalar versus array shape, so ValueMode may be accidental shared API surface. That possibility supports rejecting unsupported modes explicitly; it does not justify silently accepting and ignoring them.",GitNexus surfaced OutputPlan -> physical compilation but no ValueMode consumer; source confirms the field terminates at SemanticAggregate.,Aggregate.validateAt; lowerRecipeAggregates; SemanticAggregate; physicalAggregateExpression; recipeOutputSchema,new,M,A02,internal/dataframe/recipe/validation_rich.go; internal/dataframe/semantic/recipe_rich_shaping.go; internal/dataframe/compiler/lower/root_projection.go; internal/dataframe/compiler/ir/physical_values.go,3af5e2a7c1f47c104b601f92d7e517b265671bfd,4631c5225d727b2bd54b48e888f26d918eb5a630,"Focused compiler and recipe tests, direct-importer tests, repository gates, verify-fast, and verify-full passed at 4631c5225d727b2bd54b48e888f26d918eb5a630."
ARC-A04,WP01,Slice field ValueMode is resolved into semantic projection metadata but physical slice fields are always scalar,correctness,P2,high,implemented; focused and integration verification passed,done,internal/dataframe/semantic/recipe_projection.go:70-105; internal/dataframe/semantic/recipe_rich_shaping.go:355-366; internal/dataframe/compiler/lower/root_projection.go:264-283; internal/dataframe/compiler/render/aql/selectors.go:79-88,"normalizeRecipeProjection resolves a slice field's ValueMode to ProjectionFirst, ProjectionArray, or ProjectionDistinctArray and adjusts checked cardinality. physicalSliceExpression subsequently calls PrimarySelector/FallbackSelectors and constructs every field extraction with PhysicalScalarCardinality; the AQL selector renderer reduces that path with FIRST.","A slice field authored as ALL or DISTINCT is silently reduced to one value, while its semantic metadata and intended recipe shape say repeated values are preserved. This is a compiler-owned shape mismatch independent of the broader Explorer FIRST/lossless issue.","Carry each SemanticField projection into PhysicalExpressionProjection and render array/distinct-array extraction with matching IR cardinality, or reject ALL/DISTINCT for slice fields at validation. Ensure the nested object schema and physical expression agree.","A slice field with ALL renders an array, DISTINCT renders a deterministic distinct array, and FIRST/AUTO renders a scalar; each result's compiled cardinality and published schema agree.","GOCACHE=""$PWD/.gocache"" GOTOOLCHAIN=go1.26.5 go test -count=1 ./internal/dataframe/semantic ./internal/dataframe/compiler/lower ./internal/dataframe/compiler/render/aql",Source-only; discovery reports semantic/lower/AQL tests green without a slice ValueMode regression. Add a compiled-plan/render/schema test for AUTO/FIRST/ALL/DISTINCT.,"Focused compiler and recipe tests, direct-importer tests, repository gates, verify-fast, and verify-full passed at 4631c5225d727b2bd54b48e888f26d918eb5a630.",behavior-change,Stored slices using ALL/DISTINCT currently lose values and require explicit migration or rejection before changing behavior; FIRST/AUTO slices can remain compatible.,accept,"normalizeRecipeProjection resolves slice field ValueMode to ProjectionFirst, ProjectionArray, or ProjectionDistinctArray and adjusts checked cardinality. physicalSliceExpression then obtains selectors directly and constructs every field extraction with PhysicalScalarCardinality; renderExtract consequently applies FIRST for each field. The semantic projection decision is therefore discarded specifically at the rich slice physical boundary.","A representative slice may intentionally contain one scalar representative per field, and explicit FIRST is a valid policy. The shared Field wire type nevertheless accepts ALL and DISTINCT, and the semantic plan records those modes, so the current behavior is not a documented rejection or deliberate normalization.",GitNexus connected semantic OutputPlan and compiler lowering; source shows Projection metadata is not consumed by the slice physical projection loop.,normalizeRecipeProjection; lowerRecipeSlices; physicalSliceExpression; renderExtract,new,M,A02,internal/dataframe/semantic/recipe_projection.go; internal/dataframe/semantic/recipe_rich_shaping.go; internal/dataframe/compiler/lower/root_projection.go; internal/dataframe/compiler/render/aql/selectors.go,3af5e2a7c1f47c104b601f92d7e517b265671bfd,4631c5225d727b2bd54b48e888f26d918eb5a630,"Focused compiler and recipe tests, direct-importer tests, repository gates, verify-fast, and verify-full passed at 4631c5225d727b2bd54b48e888f26d918eb5a630."
ARC-A05,WP01,Rich aggregate/slice filters validate the full operator set but semantic lowering only supports EXISTS and string/code EQUALS,contract,P2,high,implemented; focused and integration verification passed,done,internal/dataframe/recipe/validation_rich.go:83-118; internal/dataframe/recipe/document_types.go:137-159; internal/dataframe/semantic/recipe_rich_shaping.go:428-475,"Recipe Filter validation accepts NOT_EQUALS, IN, MISSING, CONTAINS_TEXT, GT/GTE/LT/LTE, and quantifiers when their value kinds are valid. lowerRecipePredicate accepts only EXISTS or one STRING/CODE EQUALS and returns an error for every other operator before physical lowering.","A recipe can pass document validation and be durably registered with a valid typed predicate, then fail only when an aggregate or representative slice is compiled. There is no stable capability signal for clients choosing rich-shaping filters.","Add a rich-shaping-specific validator that rejects unsupported operators, kinds, and quantifiers before registration, or extend the semantic and physical rich predicate representation to preserve operator, value kind, and quantifier equivalence. Test the complete operator matrix.","Every rich-shaping filter accepted by Bundle.Validate reaches a physical predicate with equivalent operator, value kind, and quantifier semantics; unsupported forms are rejected during recipe validation with a stable error.","GOCACHE=""$PWD/.gocache"" GOTOOLCHAIN=go1.26.5 go test -count=1 ./internal/dataframe/recipe ./internal/dataframe/semantic ./internal/dataframe/compiler/ir ./internal/dataframe/compiler/lower",Source-only; focused recipe/semantic/IR/lower tests were reported green without a rich-predicate matrix. Add validation-to-lowering tests for each operator and quantifier.,"Focused compiler and recipe tests, direct-importer tests, repository gates, verify-fast, and verify-full passed at 4631c5225d727b2bd54b48e888f26d918eb5a630.",behavior-change,Recipes with currently accepted but unrepresentable rich filters need conversion to supported predicates or a versioned IR migration. Existing ordinary node filters are unaffected.,accept,"Recipe Filter validation accepts the complete operator and quantifier set after checking value kinds. lowerRecipePredicate converts the filter but only maps EXISTS and STRING/CODE EQUALS into the SemanticAggregate/SemanticSlice predicate slots; every other operator returns not representable, and quantifier is not carried by those slots. A persisted rich-shaping filter can therefore pass document validation and fail at semantic compilation.","The lowerRecipePredicate comment explicitly describes selector existence/equality as the version-one canonical shape, and ordinary node filters have a richer physical predicate path. The missing piece is enforcing that narrower boundary for rich-shaping fields before registration.",GitNexus query found the semantic recipe compilation path but no rich-predicate capability edge; source confirms the semantic predicate is a narrower representation.,Filter.validateAt; filterOperatorSupportsKind; lowerRecipePredicate,new,L,A01,internal/dataframe/recipe/validation_rich.go; internal/dataframe/semantic/recipe_rich_shaping.go; internal/dataframe/compiler/ir/physical_operations.go; internal/dataframe/compiler/lower/root_projection.go,3af5e2a7c1f47c104b601f92d7e517b265671bfd,4631c5225d727b2bd54b48e888f26d918eb5a630,"Focused compiler and recipe tests, direct-importer tests, repository gates, verify-fast, and verify-full passed at 4631c5225d727b2bd54b48e888f26d918eb5a630."
ARC-A06,WP01,Direct DynamicSpec callers can bypass discovered-schema width bounds,operability,P1,high,implemented; focused and integration verification passed,done,internal/dataframe/recipe/dynamic_validation.go:8-51; internal/dataframe/semantic/dynamic_schema.go:42-49; internal/dataframe/semantic/dynamic_schema.go:91-98; internal/dataframe/compiler/lower/recipe_dynamic_columns.go:43-49; internal/dataframe/recipe/document_types.go:366-389; internal/dataframe/semantic/resolved_plan.go:27-35,"The claimed production path to arbitrary width is overstated. schema.resolveDynamicColumns explicitly rejects MaxColumns <= 0 when a keyed family is discovered, and ResolveRecipePlan rejects an unresolved dynamic map before Freeze. A static Columns list is also a finite AllowedKeys set even when MaxColumns is zero. The helper-level Freeze contract still treats zero as unlimited, so direct DynamicSpec callers can bypass the recipe resolver and obtain an unbounded schema.",Use the reviewed problem and acceptance criterion; the broader discovery claim is not established.,"Narrow the work item to the public Freeze/DynamicSpec contract: require MaxColumns > 0 when AllowedKeys is empty, or rename/document zero as an explicit legacy unlimited mode and prevent it at any discovery-facing boundary. Do not reject zero for finite static allowed-key sets without a compatibility decision.",Direct Freeze with no finite AllowedKeys and zero MaxColumns is either rejected or explicitly allowed only by a documented legacy policy; finite static allowed-key sets retain tested compatibility.,"GOCACHE=""$PWD/.gocache"" GOTOOLCHAIN=go1.26.5 go test -count=1 ./internal/dataframe/recipe ./internal/dataframe/semantic ./internal/dataframe/compiler/lower",Source-only; no runtime unbounded recipe was reproduced. Add Freeze tests for empty versus finite AllowedKeys and an end-to-end discovery test proving zero is rejected before materialization.,"Focused compiler and recipe tests, direct-importer tests, repository gates, verify-fast, and verify-full passed at 4631c5225d727b2bd54b48e888f26d918eb5a630.",breaking,No migration is needed for static finite recipes. Any direct helper caller relying on unlimited discovery needs a finite cap or an explicit legacy policy before tightening Freeze.,narrow,"The claimed production path to arbitrary width is overstated. schema.resolveDynamicColumns explicitly rejects MaxColumns <= 0 when a keyed family is discovered, and ResolveRecipePlan rejects an unresolved dynamic map before Freeze. A static Columns list is also a finite AllowedKeys set even when MaxColumns is zero. The helper-level Freeze contract still treats zero as unlimited, so direct DynamicSpec callers can bypass the recipe resolver and obtain an unbounded schema.",Normal discovered recipe entrypoints already require a positive bound; static/frozen declarations are bounded by their explicit columns. Existing legacy zero values may be intentional for those static declarations.,GitNexus query connected schema discovery/resolution to CompileResolvedRecipePlan; source confirms the same MaxColumns zero convention is carried through both stages.,validateDynamicColumns; Freeze; ResolveRecipePlan; appendRecipeDynamicColumns,new,M,none recorded; see WP dependencies,internal/dataframe/recipe/dynamic_validation.go; internal/dataframe/semantic/dynamic_schema.go; internal/dataframe/compiler/lower/recipe_dynamic_columns.go,3af5e2a7c1f47c104b601f92d7e517b265671bfd,4631c5225d727b2bd54b48e888f26d918eb5a630,"Focused compiler and recipe tests, direct-importer tests, repository gates, verify-fast, and verify-full passed at 4631c5225d727b2bd54b48e888f26d918eb5a630."
ARC-A07,WP01,"Fragment expansion and digesting are not one canonical boundary across resolver, registry, and compiler entrypoints",contract,P1,high,implemented; focused and integration verification passed,done,internal/dataframe/semantic/recipe_plan_build.go:18-33; internal/dataframe/recipe/json_encoding.go:12-23; internal/dataframe/recipe/fragments.go:75-94; internal/dataframe/recipe/exec/persistent.go:75-98; internal/dataframe/recipe/schema/resolve.go:101-139; internal/dataframe/recipe/exec/arango/revisions.go:44-68,"BuildRecipePlan expands fragments before validation and digesting. PersistentRegistry.canonicalEntry also expands and stores a standalone expanded bundle. schema.Resolve and RevisionRegistry.Register validate and digest the original fragment-bearing bundle, then schema.Resolve discovers fields on a clone without expanding fragments. Thus direct resolver/revision and persistent registry entrypoints can assign different recipe identity and discovery behavior to the same logical recipe.","Stored recipe digest, revision parent, resolved-schema digest, and execution plan can disagree depending on which API was used. Fragment-based catalog declarations can be missed by direct resolution, and changing fragment expansion policy can invalidate persisted receipts/revision references.","Define one canonical expand/validate boundary for registration, revision, schema resolution, and semantic compilation. Decide whether identity is authored or expanded; if both are needed, persist named authored and expanded digests and pass the expanded bundle explicitly to discovery and compilation.","For a fragment-bearing bundle, every supported entrypoint produces the same authored/expanded identity pair, discovers the same selectors, and passes the same expanded bundle to semantic compilation; old persisted identities have an explicit migration path.","GOCACHE=""$PWD/.gocache"" GOTOOLCHAIN=go1.26.5 go test -count=1 ./internal/dataframe/recipe ./internal/dataframe/recipe/schema ./internal/dataframe/recipe/exec/arango ./internal/dataframe/semantic","Source-only; existing fragment tests cover expansion but not cross-entrypoint parity. Add a fixture that exercises registration, revision, schema resolution, and compilation on one fragment-bearing bundle.","Focused compiler and recipe tests, direct-importer tests, repository gates, verify-fast, and verify-full passed at 4631c5225d727b2bd54b48e888f26d918eb5a630.",breaking,"Existing recipe entries, revision parents, resolved-schema digests, receipts, and execution lookups need an authored/expanded identity migration and compatibility reads before changing digest semantics.",accept,"BuildRecipePlan expands fragments before validation and digesting. PersistentRegistry.canonicalEntry does the same and stores the expanded bundle. In contrast, schema.Resolve validates and digests the fragment-bearing bundle, then resolves declarations on a clone without expanding fragments; RevisionRegistry.Register also stores/digests the authored bundle. The same logical fragment recipe can therefore have different stored/parent identity and can expose different discovery inputs depending on entrypoint.","Persistent registration may intentionally store compiler-ready expanded source, while revision registration may intentionally retain authored source. The API and digest field names do not state that distinction or pair the two identities, and direct schema resolution can miss fragment-generated declarations.",GitNexus showed the compileResolvedBundle -> OutputPlan path but not all registry/resolver edges; source inspection identified distinct digest boundaries at each entrypoint.,BuildRecipePlan; ExpandFragments; ExpandBundle; canonicalEntry; schema.Resolve; RevisionRegistry.Register,new,L,A13,internal/dataframe/recipe/fragments.go; internal/dataframe/recipe/json_encoding.go; internal/dataframe/recipe/schema/resolve.go; internal/dataframe/recipe/exec/persistent.go; internal/dataframe/recipe/exec/arango/revisions.go; internal/dataframe/semantic/recipe_plan_build.go,3af5e2a7c1f47c104b601f92d7e517b265671bfd,4631c5225d727b2bd54b48e888f26d918eb5a630,"Focused compiler and recipe tests, direct-importer tests, repository gates, verify-fast, and verify-full passed at 4631c5225d727b2bd54b48e888f26d918eb5a630."
ARC-A08,WP01,Strict JSON parsing duplicates a trailing-value check that accepts malformed trailing bytes,verification,P1,high,implemented; focused and integration verification passed,done,internal/dataframe/recipe/json_encoding.go:228-246; internal/dataframe/recipe/strict_json.go:65-80; conformance/compiler/types.go:45-70,recipe.Parse and recipe strict_json.detectDuplicateKeys reject a second complete JSON value only when the second Decode returns nil; malformed trailing bytes return a decode error that is ignored. conformance/compiler LoadDir decodes one fixture and never checks for trailing input at all.,"The recipe parser, duplicate-key scanner, and conformance fixture loader disagree about what constitutes one valid document. Invalid recipe bytes can receive a digest or fixture ID, undermining reproducibility and making conformance results less trustworthy.","Centralize a strict single-document decoder that requires io.EOF after the first value, and use it for recipe parsing, duplicate-key scanning, and fixture loading. Cover valid whitespace, second values, and malformed trailing bytes with stable parse/decode diagnostics.",Recipe and conformance fixture entrypoints accept exactly one JSON value with trailing whitespace and reject both a second value and any malformed non-whitespace trailing byte with parse_error/decode_error.,"GOCACHE=""$PWD/.gocache"" GOTOOLCHAIN=go1.26.5 go test -count=1 ./internal/dataframe/recipe ./conformance/compiler",Source-only; recipe tests were reported green and conformance setup was blocked by Go cache permissions. Add direct malformed-trailing tests at all three entrypoints.,"Focused compiler and recipe tests, direct-importer tests, repository gates, verify-fast, and verify-full passed at 4631c5225d727b2bd54b48e888f26d918eb5a630.",behavior-change,Previously accepted malformed documents and fixtures will fail strict parsing; revalidate stored recipe inputs and fixture corpora before rollout. Valid JSON and whitespace remain compatible.,accept,"recipe.Parse rejects a second complete JSON value only when the second Decode succeeds; a syntax error in malformed trailing bytes is ignored. detectDuplicateKeys has the same non-EOF acceptance, and conformance/compiler LoadDir decodes one fixture without a trailing Decode at all. Consequently malformed bytes after a valid first value can receive normal validation/digest or fixture processing.","Malformed syntax inside the first value is caught by the token walk/typed decoder, and a second complete value is rejected. Neither safeguard distinguishes valid trailing whitespace (io.EOF) from malformed trailing input.",GitNexus query included conformance compiler fixture/process nodes but did not model decoder state; source confirms three independently implemented decode boundaries.,Parse; detectDuplicateKeys; LoadDir,new,S,none recorded; see WP dependencies,internal/dataframe/recipe/json_encoding.go; internal/dataframe/recipe/strict_json.go; conformance/compiler/types.go,3af5e2a7c1f47c104b601f92d7e517b265671bfd,4631c5225d727b2bd54b48e888f26d918eb5a630,"Focused compiler and recipe tests, direct-importer tests, repository gates, verify-fast, and verify-full passed at 4631c5225d727b2bd54b48e888f26d918eb5a630."
ARC-A09,WP01,CompileResolvedRecipePlan silently succeeds with zero outputs for unknown OutputNames,operability,P2,high,implemented; focused and integration verification passed,done,internal/dataframe/compiler/lower/recipe_compile.go:97-125; internal/dataframe/recipe/document_types.go:450-453; internal/dataframe/execution/engine.go:409-427,"CompileResolvedRecipePlan builds a selected-name map and skips every output not listed, but never verifies that each requested name exists. The result can be a successful CompiledRecipe with no Outputs; execution.Engine later reports the missing output while direct compiler callers receive an apparently valid empty plan.","Compiler, conformance, preview, and any future cache caller can persist or inspect an empty success instead of a deterministic invalid-request error. The failure is delayed and depends on which layer consumes the result.","At the compiler boundary, validate every nonempty OutputNames entry against semantic outputs, reject duplicates, and preserve empty-list all-output semantics. Use one stable invalid-output diagnostic and update callers for the earlier failure.",Any nonempty OutputNames request containing an unknown or duplicate output fails from CompileResolvedRecipePlan with a stable invalid-output diagnostic; an empty list still compiles every output.,"GOCACHE=""$PWD/.gocache"" GOTOOLCHAIN=go1.26.5 go test -count=1 ./internal/dataframe/compiler/lower ./internal/dataframe/execution ./conformance/compiler","Source-only; compiler/lower and execution tests were reported green. Add unknown, duplicate, all-output, and multi-output selection tests directly against CompileResolvedRecipePlan.","Focused compiler and recipe tests, direct-importer tests, repository gates, verify-fast, and verify-full passed at 4631c5225d727b2bd54b48e888f26d918eb5a630.",behavior-change,Behavior changes only for invalid direct requests; callers that relied on an empty success must handle the compiler error. No persisted recipe migration is required.,accept,"CompileResolvedRecipePlan builds a selected-name map, skips non-selected outputs, and returns success without checking whether every requested name matched. execution.Engine later checks missing names in streamsWithLimit, so the common stream path is protected but direct compiler, conformance, preview, and cache callers can observe an empty successful CompiledRecipe for an invalid request; duplicate requested names are also collapsed by the map.","The execution engine reports an unknown output before creating streams/queries, and an empty OutputNames list intentionally means all outputs. That later guard does not make the exported lowerer result deterministic for its other callers.",GitNexus surfaced CompileResolvedRecipePlan and compileResolvedBundle as separate plan stages; source confirms name validation currently lives only in the later execution stage.,CompileResolvedRecipePlan; RuntimeBindings.OutputNames; streamForOutput,new,S,none recorded; see WP dependencies,internal/dataframe/compiler/lower/recipe_compile.go; internal/dataframe/recipe/document_types.go,3af5e2a7c1f47c104b601f92d7e517b265671bfd,4631c5225d727b2bd54b48e888f26d918eb5a630,"Focused compiler and recipe tests, direct-importer tests, repository gates, verify-fast, and verify-full passed at 4631c5225d727b2bd54b48e888f26d918eb5a630."
ARC-A10,WP01,PhysicalFilter has a legacy predicate slot whose renderer supports fewer operators than the typed physical IR,contract,P2,high,implemented; focused and integration verification passed,done,internal/dataframe/spec/filter.go:12-28; internal/dataframe/compiler/ir/physical_validation.go:574-623; internal/dataframe/compiler/render/aql/validation.go:140-155; internal/dataframe/compiler/render/aql/predicates.go:11-90,"PhysicalPredicate validation accepts the complete EQUALS/NOT_EQUALS/IN/EXISTS/MISSING/CONTAINS_TEXT/GT/GTE/LT/LTE set, and the expression-based renderer supports those operators. The legacy PhysicalFilter.Predicate renderer validation only allows EQUALS, IN, and GT, so a valid physical plan can fail late depending on which predicate representation lowering selected.","IR consumers cannot rely on the declared predicate contract. Direct plans, older lowering paths, or optimizer rewrites can fail during rendering for operators that validate successfully, producing policy drift between expression and legacy predicate paths.","Migrate legacy constructors and delete the legacy slot, or make its validation/rendering share the typed operator implementation. Add a matrix test proving every permitted operator either renders equivalently or is rejected before RenderPhysicalPlan.",Every operator permitted by the physical IR either renders equivalently through the legacy and expression paths or the legacy slot is no longer constructible; no valid physical predicate fails only at RenderPhysicalPlan.,"GOCACHE=""$PWD/.gocache"" GOTOOLCHAIN=go1.26.5 go test -count=1 ./internal/dataframe/compiler/ir ./internal/dataframe/compiler/render/aql ./internal/dataframe/compiler/lower","Source-only; IR, AQL, and lower tests were reported green without a legacy/expression operator matrix. Add direct render tests for all spec operators.","Focused compiler and recipe tests, direct-importer tests, repository gates, verify-fast, and verify-full passed at 4631c5225d727b2bd54b48e888f26d918eb5a630.",breaking,"Paging, orchestration, optimizer, and direct IR callers must migrate if the legacy slot is removed. Existing serialized physical plans, if any, need a read/migration policy; recipe persistence itself is unaffected.",accept,"IR validation permits the full physical operator set for the legacy PhysicalFilter.Predicate slot, while the AQL renderable-operation validator and direct renderPredicate branch allow only EQUALS, IN, and GT. The expression-based predicate renderer supports the complete set. Legacy callers still construct PhysicalFilter predicates (for example paging and orchestration), so a valid physical IR can fail only when rendered through the legacy path.","Current recipe lowering mostly emits PhysicalPredicateExpression, and the legacy path may be compatibility-only. That favors deleting/migrating it or explicitly narrowing its IR type; it does not support retaining contradictory validation and render contracts.",GitNexus connected lower/graph_plan and renderer predicate nodes; source shows two PhysicalFilter predicate representations with different validation coverage.,FilterOperator; validatePhysicalPredicate; validatePhysicalFilter; renderPredicate,new,M,A01,internal/dataframe/compiler/ir/physical_validation.go; internal/dataframe/compiler/render/aql/validation.go; internal/dataframe/compiler/render/aql/predicates.go,3af5e2a7c1f47c104b601f92d7e517b265671bfd,4631c5225d727b2bd54b48e888f26d918eb5a630,"Focused compiler and recipe tests, direct-importer tests, repository gates, verify-fast, and verify-full passed at 4631c5225d727b2bd54b48e888f26d918eb5a630."
