candidate_id,claim,disposition,reason,correction,source_refs,base_sha
A14,Child scalar projection can silently apply FIRST while the output contract remains lossless,consolidated,"The compiler-to-publication losslessness concern is one cross-layer work item with B05, not a second independently counted defect. Explicit FIRST is intentional; truthful public losslessness needs reproduction.",Execute with ARC-B05 across WP01 and WP05 after the repeated-field/multi-related-record fixture.,internal/dataframe/semantic/selection_semantics.go:120-136; internal/dataframe/spec/selector_validation.go:10-45; internal/dataframe/compiler/render/aql/selectors.go:79-88; internal/dataframe/compiler/render/aql/navigation_render.go:257-277; internal/dataframe/semantic/recipe_projection.go:89-103; docs/EXPLORER_BACKLOG.md:35-42,3af5e2a7c1f47c104b601f92d7e517b265671bfd
A-discovery-reject,All duplicated helpers in the recipe dynamic-column lowerer are separate architecture defects.,rejected-in-discovery,The dynamic item lowerer has a narrower lexical scope than ordinary recipe expression lowering; source inspection did not prove an observable policy mismatch. Kept out rather than padding the candidate list.,No work scheduled.,internal/dataframe/compiler/lower/recipe_dynamic_columns.go:181-260; internal/dataframe/compiler/lower/recipe_expression_lowering.go:1-120,3af5e2a7c1f47c104b601f92d7e517b265671bfd
A-discovery-reject,Generic conformance generated-route tests prove incorrect renderer behavior.,rejected-in-discovery,"The tests explicitly describe themselves as broad compile-shape coverage and do not claim live backend proof. This is a verification gap, not enough source evidence for a distinct compiler policy issue in this slice.",No work scheduled.,conformance/compiler/generated_semantics_coverage_test.go:18-58; conformance/compiler/physical_plan_cost_test.go:10-13,3af5e2a7c1f47c104b601f92d7e517b265671bfd
B13,Suggestions endpoint ignores the capability suggestion limit,rejected,"ProjectionPolicy.SuggestionLimit is applied in capability.Builder to each FieldObservation's SuggestedValues, setting SuggestionsTruncated/Complete. lifecycle.Suggestions returns matching CatalogCandidate definitions, not SuggestedValues, and its documented endpoint is candidate search; the CatalogSnapshot type does not carry the projection limit. Thus returning all matching candidates is not an observed violation of the declared suggestion-value limit, and imposing that limit would silently truncate a different API contract.","Remove B13 as stated. If candidate search needs an independent response bound, define a separate CandidateSearchLimit/paging contract and verify transport compatibility; do not reuse Projection.SuggestionLimit.",internal/explorer/capability/domain.go:104-108; internal/explorer/capability/builder.go:147-149; internal/explorer/capability/builder.go:267-268; internal/explorer/lifecycle/query.go:76-95,3af5e2a7c1f47c104b601f92d7e517b265671bfd
B-discovery-reject,Arango InsertRevision overwrites immutable revision content on retry.,rejected-in-discovery,"The AQL uses UPDATE {} and therefore leaves an existing document unchanged; the supported issue is silent acceptance without content comparison, recorded as B01.",No work scheduled.,internal/explorer/arango/revisions.go:20,3af5e2a7c1f47c104b601f92d7e517b265671bfd
B-discovery-reject,The current local writeback implementation is non-atomic.,rejected-in-discovery,"It writes, syncs, closes, and renames a temporary file atomically. The concrete issue is singleton routing/ignored ExplorerID, recorded as B03.",No work scheduled.,internal/server/local_workspace_writeback.go:40-70,3af5e2a7c1f47c104b601f92d7e517b265671bfd
B-discovery-reject,A missing default Builder workspace is invalid state.,rejected-in-discovery,The code and comments intentionally model unpublished Explorers as NEW with null workspace and hydrate a valid empty editor; no issue recorded.,No work scheduled.,internal/explorer/lifecycle/query.go:98-135; internal/explorer/service.go:134-143,3af5e2a7c1f47c104b601f92d7e517b265671bfd
B-discovery-reject,Capability snapshots are mutable on every retry.,rejected-in-discovery,"The capability repository uses insert-ignore and canonical token comparison; source evidence supports immutable snapshots, so no candidate recorded.",No work scheduled.,internal/explorer/arango/capability_snapshot_store.go:27-84,3af5e2a7c1f47c104b601f92d7e517b265671bfd
C01,Legacy generation activation overwrites the active pointer without a compare-and-swap,rejected,"The query does not compare an application-supplied generation token, but it updates the DOCUMENT(@active_key) object with OPTIONS {ignoreRevs: false}. Arango uses the document _rev carried by that object as an optimistic concurrency check, so a concurrent pointer update should produce a revision conflict rather than silently overwrite it. The idempotency read is intentionally separate and can remain a benign retry path.","Remove the claim that activation silently overwrites the pointer. If the contract requires a typed ErrActivationConflict, normalize Arango revision-conflict errors and add an Arango-backed concurrent activation test; do not add a second token without proving the existing _rev fence is insufficient.",internal/dataset/arango/manifest_lifecycle.go:183; internal/dataset/arango/manifest_lifecycle.go:318,3af5e2a7c1f47c104b601f92d7e517b265671bfd
C13,Arango storage adapters duplicate JSON round-trip and legacy-state policy,rejected,"The adapters are not decoding one shared aggregate: dataset manifests use lifecycle-specific state mapping and validation, catalog rows use snake_case fields plus numeric/slice coercions, and publication executions use their own JSON/legacy state canonicalization. The independent policies are required by different persisted schemas. No concrete fixture currently demonstrates divergent decoding of the same aggregate or a correctness failure.","Drop the cross-adapter correctness claim. If reducing boilerplate is valuable, share only a low-level JSON/map helper and add aggregate-specific fixture tests for each documented historical format; require a concrete mismatch before changing policy.",internal/dataset/arango/document_codec.go:64; internal/dataset/arango/document_codec.go:104; internal/dataset/arango/release_store.go:105; internal/catalog/arango/codec.go:11; internal/dataframe/publication/arango/bundle_registry.go:20; internal/dataframe/publication/bundle.go:147,3af5e2a7c1f47c104b601f92d7e517b265671bfd
